U	y/B
0.671	-0.75
0.905	-0.8125
1.146	-0.875
1.292	-0.9375
1.32	-1
1.286	-1.0625
1.279	-1.125
1.232	-1.25
1.193	-1.5
1.164	-1.75
1.155	-2
1.127	-3
1.11	-4
0.77	0.75
1.103	0.8125
1.439	0.875
1.529	0.9375
1.546	1
1.514	1.0625
1.488	1.125
1.43	1.25
1.344	1.5
1.28	1.75
1.241	2
1.14	3
1.108	4
-0.181	-0.575
-0.075	-0.625
0.308	-0.6875
0.645	-0.75
0.968	-0.8125
1.23	-0.875
1.323	-0.9375
1.338	-1
1.323	-1.0625
1.29	-1.125
-0.387	0.575
-0.301	0.625
0.142	0.6875
0.738	0.75
1.135	0.8125
1.456	0.875
1.564	0.9375
1.561	1
1.525	1.0625
1.48	1.125
