x/B	Vmean/U
1.38E+00	5.27E-01
1.50E+00	4.79E-01
1.63E+00	3.16E-01
1.75E+00	2.04E-01
1.88E+00	8.00E-02
2.00E+00	-2.54E-01
2.13E+00	-5.16E-01
2.25E+00	-5.91E-01
2.38E+00	-8.21E-01
2.50E+00	-9.33E-01
2.63E+00	-9.31E-01
2.75E+00	-8.52E-01
2.88E+00	-8.11E-01
3.00E+00	-7.53E-01
3.13E+00	-7.31E-01
3.38E+00	-5.94E-01
3.50E+00	-4.97E-01
3.75E+00	-1.33E-01
4.00E+00	1.50E-01
4.25E+00	4.80E-01
4.50E+00	5.63E-01
4.75E+00	6.49E-01
5.00E+00	6.37E-01
5.25E+00	5.85E-01
5.50E+00	5.44E-01
5.75E+00	5.23E-01
6.00E+00	4.43E-01
6.25E+00	3.76E-01
6.50E+00	2.52E-01
6.90E+00	-4.50E-02
7.30E+00	-2.32E-01
7.70E+00	-3.53E-01
8.10E+00	-3.61E-01
8.50E+00	-3.01E-01
