x/B	Cp
0.0129131	1.09677
0.0545682	1.09677
0.0961538	1.08065
0.13774	1.06452
0.17516	1.04839
0.233269	1
0.262219	0.951613
0.2995	0.903226
0.332547	0.83871
0.361219	0.725806
0.397945	0.548387
0.422313	0.403226
0.442099	0.16129
0.461816	-0.0967742
0.477437	-0.33871
0.5261157	-1.60086
0.5388443	-1.56795
0.5515728	-1.53503
0.5727396	-1.5024
0.602167	-1.55336
0.644358	-1.55475
0.68233	-1.556
0.720337	-1.54059
0.7498	-1.57489
0.804577	-1.61003
0.859354	-1.64516
0.884598	-1.67933
0.947884	-1.68141
0.99004	-1.69947
1.036486	-1.68433
1.08715	-1.66933
1.125194	-1.63725
1.163237	-1.60517
1.20128	-1.57309
1.230921	-1.52406
1.273254	-1.45879
1.307185	-1.37657
1.332606	-1.32741
1.366466	-1.27852
1.396107	-1.2295
1.429931	-1.19728
1.463755	-1.16506
1.525881	-1.11864
1.559262	-1.10169
1.6468	-1.08475
1.746784	-1.08475
1.859319	-1.0678
1.99263136	-1.0678
2.138494	-1.05085
2.255142	-1.05085
2.334297	-1.05085
2.384289	-1.05085
2.430063	-1.0678
2.467505	-1.08475
