x/B	Cp
0.00171104	1.00833
0.0461577	1.00374
0.0906043	0.999147
0.135053	0.988983
0.175276	0.962014
0.21762	0.923951
0.259963	0.885887
0.302316	0.825541
0.344691	0.709489
0.389178	0.604624
0.429479	0.382683
0.471955	0.0159516
0.495896	-1.62688
0.512854	-1.69335
0.553099	-1.77603
0.595427	-1.7751
0.639872	-1.77412
0.6822	-1.77319
0.724525	-1.76668
0.766858	-1.7769
0.811309	-1.79263
0.853653	-1.83069
0.895994	-1.86319
0.940447	-1.88449
0.982775	-1.88356
1.02511	-1.8882
1.06744	-1.89284
1.10976	-1.89191
1.15421	-1.88536
1.19653	-1.87886
1.23885	-1.86121
1.28117	-1.838
1.32349	-1.81479
1.36792	-1.78039
1.41023	-1.73489
1.45254	-1.69496
1.49697	-1.63828
1.54139	-1.58717
1.5837	-1.54724
1.62602	-1.51289
1.67046	-1.4952
1.71278	-1.4887
1.75723	-1.49329
1.79956	-1.51464
1.84402	-1.54152
1.88424	-1.56848
1.9287	-1.58979
1.96892	-1.61676
1.99432	-1.62734
