x/B	Cp
0.00382968	1.00281
0.0440413	1.00369
0.0884901	0.993529
0.126594	0.972085
0.168929	0.956304
0.213385	0.929428
0.255728	0.891365
0.293848	0.830926
0.336207	0.753868
0.374345	0.648863
0.416734	0.499387
0.459129	0.333199
0.538164	-1.47554
0.580491	-1.47461
0.620703	-1.47372
0.663029	-1.46722
0.70324	-1.46634
0.745571	-1.47098
0.785782	-1.47009
0.830227	-1.46911
0.870438	-1.46823
0.912768	-1.47287
0.955099	-1.47751
0.997427	-1.47658
1.03764	-1.47569
1.07997	-1.48033
1.12018	-1.49059
1.16251	-1.49523
1.20484	-1.4943
1.24717	-1.49894
1.28739	-1.50362
1.3276	-1.51388
1.37416	-1.50729
1.41225	-1.49531
1.45457	-1.47209
1.53705	-1.32544
1.57938	-1.31894
1.62171	-1.31801
1.66404	-1.32822
1.70426	-1.35519
1.74659	-1.35983
1.78681	-1.37008
1.82914	-1.37472
1.87147	-1.38493
1.9138	-1.384
1.95613	-1.38864
1.99634	-1.38776
