x/B	Umean/U
1.03245	0.00381679
1.08561	-0.0534351
1.19096	-0.0839695
1.29604	-0.0916031
1.43591	-0.0801527
1.5406	-0.0534351
1.6103	-0.0267176
1.67995	0.00381679
1.78438	0.0534351
1.87131	0.103053
1.94069	0.156489
2.04491	0.225191
2.14925	0.282443
2.21877	0.324427
2.3057	0.374046
2.42754	0.431298
2.5146	0.469466
2.63653	0.519084
2.79338	0.576336
2.91535	0.622137
3.05491	0.660305
3.15961	0.687023
3.29934	0.709924
3.47395	0.744275
3.71864	0.770992
3.96329	0.801527
4.20798	0.828244
4.41772	0.851145
4.75	0.870229
5.09982	0.885496
5.50218	0.896947
5.90468	0.896947
6.28964	0.900763
6.65705	0.908397
7.00704	0.908397
