x/B	Cp
0.00305042	0.0305034
0.0601892	0.0311555
0.110578	0.0345005
0.201158	0.0521535
0.28157	0.0780001
0.338427	0.106348
0.38181	0.137311
0.41497	0.182008
0.444401	0.26267
0.470499	0.340524
0.496399	0.437766
0.525321	0.56828
0.575766	0.566086
0.629261	0.594395
0.669679	0.586547
0.720124	0.584352
0.77715	0.596083
0.834091	0.616122
0.887643	0.638892
0.934501	0.658816
0.991329	0.689933
1.05852	0.69347
1.1123	0.694083
1.19684	0.64519
1.23418	0.609608
1.26474	0.579488
1.29877	0.538329
1.32942	0.4999
1.36006	0.461472
1.39407	0.423082
1.42796	0.39577
1.4718	0.382421
1.52267	0.338683
1.60339	0.334065
1.67409	0.323792
1.72128	0.310481
1.78204	0.286246
1.83943	0.261972
1.88329	0.245853
1.95066	0.232773
2.00121	0.2195
