x/B	Umean/U
1.1	-0.0449507
1.12982	-0.0538192
1.17571	-0.0672119
1.22298	-0.0759823
1.27167	-0.0817887
1.32182	-0.0832413
1.37348	-0.0803197
1.42668	-0.0722642
1.48148	-0.0589387
1.53793	-0.0404464
1.59607	-0.0182151
1.65595	0.00769964
1.71763	0.0377062
1.78115	0.0746488
1.84659	0.118373
1.91399	0.172305
1.98341	0.230865
2.02031	0.263196
2.05133	0.289979
2.0575	0.29536
2.06507	0.301462
2.09498	0.326781
2.11946	0.346179
2.13277	0.356715
2.14968	0.369102
2.17092	0.385308
2.18762	0.397098
2.20945	0.412369
2.23871	0.431369
2.2483	0.437804
2.25535	0.442227
2.28749	0.462102
2.32216	0.482339
2.32695	0.485081
2.33409	0.488982
2.36671	0.507384
2.3884	0.51923
2.40668	0.528984
2.43483	0.543707
2.44687	0.550234
2.45471	0.554454
2.48733	0.571529
2.52187	0.589599
2.52788	0.592647
2.53683	0.597203
2.56863	0.614047
2.58996	0.625273
2.60942	0.635247
2.63782	0.649559
2.64991	0.655836
2.65817	0.659894
2.69023	0.675385
2.72162	0.689742
2.72606	0.691734
2.76558	0.708195
2.77379	0.711504
2.79221	0.718126
2.82292	0.729144
2.84101	0.73479
2.8695	0.743606
2.91542	0.75615
2.91543	0.756152
2.91544	0.756155
2.96156	0.767109
2.98716	0.772593
3.00766	0.776928
3.04728	0.784549
3.05388	0.785791
3.05717	0.786356
3.10041	0.793714
3.12677	0.797856
3.14718	0.801036
3.18893	0.807086
3.19441	0.807852
3.19705	0.808194
3.242	0.813987
3.26832	0.817159
3.2898	0.819741
3.32831	0.824124
3.33786	0.825159
3.34335	0.825718
3.38604	0.830084
3.42024	0.833394
3.43446	0.834786
3.45835	0.837021
3.48327	0.839191
3.49752	0.840402
3.53238	0.84339
3.5775	0.847138
3.5818	0.847503
3.58804	0.848021
3.63076	0.851231
3.66118	0.853541
3.67893	0.854909
3.70124	0.856672
3.72606	0.85835
3.7512	0.860127
3.77413	0.861697
3.79132	0.863024
3.82369	0.865082
3.87489	0.868807
3.875	0.868814
3.87507	0.86882
3.92686	0.872358
3.95857	0.874907
3.97991	0.876317
4.01641	0.8792
4.03361	0.880532
4.04367	0.881456
4.08767	0.88474
4.12962	0.888526
4.14243	0.889451
